count,isbn,authors,year,title,language,rating,read,image
10,439023483,Suzanne Collins,2008,The Hunger Games,eng,4,4780653,https://images.gr-assets.com/books/1447303603m/276
5,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4,4602479,https://images.gr-assets.com/books/1474154022m/3.j
20,316015849,Stephenie Meyer,2005,Twilight,en-US,4,3866839,https://images.gr-assets.com/books/1361039443m/418
3,61120081,Harper Lee,1960,To Kill a Mockingbird,eng,4,3198671,https://images.gr-assets.com/books/1361975680m/265
4,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,eng,4,2683664,https://images.gr-assets.com/books/1490528560m/467
6,525478817,John Green,2012,The Fault in Our Stars,eng,4,2346404,https://images.gr-assets.com/books/1360206420m/118
6,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4,2071616,https://images.gr-assets.com/books/1372847500m/590
7,316769177,J.D. Salinger,1951,The Catcher in the Rye,eng,4,2044241,https://images.gr-assets.com/books/1398034300m/510
12,1416524797,Dan Brown,2000,Angels & Demons ,en-CA,4,2001311,https://images.gr-assets.com/books/1303390735m/960
14,679783261,Jane Austen,1813,Pride and Prejudice,eng,4,2035490,https://images.gr-assets.com/books/1320399351m/188
14,1594480001,Khaled Hosseini,2003,The Kite Runner ,eng,4,1813044,https://images.gr-assets.com/books/1484565687m/772
31,62024035,Veronica Roth,2011,Divergent,eng,4,1903563,https://images.gr-assets.com/books/1328559506m/133
31,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4,1956832,https://images.gr-assets.com/books/1348990566m/547
3,452284244,George Orwell,1945,Animal Farm: A Fairy Story,eng,4,1881700,https://images.gr-assets.com/books/1424037542m/761
4,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubl",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 au,eng,4,1972666,https://images.gr-assets.com/books/1358276407m/488
45,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4,1808403,https://images.gr-assets.com/books/1327868566m/242
5,439023491,Suzanne Collins,2009,Catching Fire,eng,4,1831039,https://images.gr-assets.com/books/1358273780m/614
6,43965548,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,5,1832823,https://images.gr-assets.com/books/1499277281m/5.j
7,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4,1766803,https://images.gr-assets.com/books/1298411339m/34.
8,439023513,Suzanne Collins,2010,Mockingjay,eng,4,1719760,https://images.gr-assets.com/books/1358275419m/726
10,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4,1735368,https://images.gr-assets.com/books/1387141547m/2.j
12,316166685,Alice Sebold,2002,The Lovely Bones,eng,4,1605173,https://images.gr-assets.com/books/1457810586m/122
12,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4,1779331,https://images.gr-assets.com/books/1474169725m/158
11,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,5,1753043,https://images.gr-assets.com/books/1361482611m/6.j
11,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng,5,1746574,https://images.gr-assets.com/books/1474171184m/136
11,307277674,Dan Brown,2003,The Da Vinci Code,eng,4,1447148,https://images.gr-assets.com/books/1303252999m/968
11,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng,5,1678823,https://images.gr-assets.com/books/1361039191m/1.j
2,140283331,William Golding,1954,Lord of the Flies ,eng,4,1605019,https://images.gr-assets.com/books/1327869409m/762
1,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Julie,eng,4,1628519,https://images.gr-assets.com/books/1327872146m/181
1,297859382,Gillian Flynn,2012,Gone Girl,eng,4,512475,https://images.gr-assets.com/books/1339602131m/844
2,399155341,Kathryn Stockett,2009,The Help,eng,4,1531753,https://images.gr-assets.com/books/1346100365m/466
2,142000671,John Steinbeck,1937,Of Mice and Men ,eng,4,1467496,https://images.gr-assets.com/books/1437235233m/890
2,739326228,Arthur Golden,1997,Memoirs of a Geisha,eng,4,1300209,https://s.gr-assets.com/assets/nophoto/book/111x14
2,1612130291,E.L. James,2011,Fifty Shades of Grey,eng,4,1338493,https://images.gr-assets.com/books/1385207843m/108
1,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng,4,1299566,https://images.gr-assets.com/books/1483412266m/865
12,385732554,Lois Lowry,1993,The Giver,eng,4,1296825,https://images.gr-assets.com/books/1342493368m/363
12,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4,1531800,https://images.gr-assets.com/books/1353029077m/100
21,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,4,746287,https://images.gr-assets.com/books/1437728815m/140
1,553588486,George R.R. Martin,1996,A Game of Thrones,eng,4,1319204,https://images.gr-assets.com/books/1436732693m/134
11,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything",eng,4,1181647,https://images.gr-assets.com/books/1503066414m/195
12,786838655,Rick Riordan,2005,The Lightning Thief,eng,4,1366265,https://images.gr-assets.com/books/1400602609m/281
21,451529308,Louisa May Alcott,1868,Little Women,en-US,4,1257121,https://s.gr-assets.com/assets/nophoto/book/111x14
12,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4,1198557,https://images.gr-assets.com/books/1327867269m/102
12,553816713,Nicholas Sparks,1996,The Notebook,eng,4,1053403,https://images.gr-assets.com/books/1385738917m/159
12,770430074,Yann Martel,2001,Life of Pi,,4,1003228,https://images.gr-assets.com/books/1320562005m/421
12,1565125606,Sara Gruen,2006,Water for Elephants,eng,4,1068146,https://images.gr-assets.com/books/1494428973m/436
4,375831002,Markus Zusak,2005,The Book Thief,eng,4,1159741,https://images.gr-assets.com/books/1390053681m/190
5,307347974,Ray Bradbury,1953,Fahrenheit 451,spa,4,570498,https://images.gr-assets.com/books/1351643740m/438
6,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,4,1149630,https://images.gr-assets.com/books/1361039440m/490
7,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of,eng,4,1016888,https://images.gr-assets.com/books/1168052448m/301
,1416914285,Cassandra Clare,2007,City of Bones,eng,4,1154031,https://images.gr-assets.com/books/1432730315m/256
11,316160202,Stephenie Meyer,2007,Eclipse,en-US,4,1134511,https://images.gr-assets.com/books/1361038355m/428
1,375826696,Christopher Paolini,2002,Eragon,en-US,4,1104021,https://images.gr-assets.com/books/1366212852m/113
2,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4,936782,https://images.gr-assets.com/books/1327656754m/11.
3,60929871,Aldous Huxley,1932,Brave New World,eng,4,1022601,https://images.gr-assets.com/books/1487389574m/512
4,31606792,Stephenie Meyer,2008,Breaking Dawn,en-US,4,1070245,https://images.gr-assets.com/books/1361039438m/116
4,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4,916189,https://images.gr-assets.com/books/1473454532m/374
4,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,4,953758,https://images.gr-assets.com/books/1405973850m/295
1,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4,1064521,https://images.gr-assets.com/books/1439632243m/241
5,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,4,867553,https://images.gr-assets.com/books/1479863624m/161
6,1594633665,Paula Hawkins,2015,The Girl on the Train,eng,4,1008778,https://images.gr-assets.com/books/1490903702m/225
7,679879242,Philip Pullman,1995,Northern Lights,eng,4,953970,https://images.gr-assets.com/books/1451271747m/119
2,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,4,899195,https://s.gr-assets.com/assets/nophoto/book/111x14
3,743454537,Jodi Picoult,2004,My Sister's Keeper,eng,4,863879,https://images.gr-assets.com/books/1369504683m/109
4,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A ",eng,4,846488,https://images.gr-assets.com/books/1440319389m/498
9,446675539,Margaret Mitchell,1936,Gone with the Wind,eng,4,873981,https://images.gr-assets.com/books/1328025229m/184
12,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4,818742,https://images.gr-assets.com/books/1345958969m/128
2,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4,888806,https://images.gr-assets.com/books/1167352178m/226
3,7442912,Veronica Roth,2012,Insurgent,eng,4,836362,https://images.gr-assets.com/books/1325667729m/117
3,812550706,Orson Scott Card,1985,Ender's Game,eng,4,813439,https://images.gr-assets.com/books/1408303130m/375
3,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley,",1818,"Frankenstein; or, The Modern Prometheus",eng,4,808589,https://images.gr-assets.com/books/1381512375m/184
1,450040186,Stephen King,1977,The Shining,eng,4,791850,https://images.gr-assets.com/books/1353277730m/115
3,316068047,Stephenie Meyer,2008,The Host,en-US,4,749780,https://images.gr-assets.com/books/1318009171m/165
4,142402516,John Green,2005,Looking for Alaska,eng,4,783470,https://images.gr-assets.com/books/1394798630m/995
